"latnum","longnum","start","end","severity","cause","flood"
24.05366667,91.05,NA,NA,NA,NA,"All Households"
24.05595,91.05025,NA,NA,NA,NA,"All Households"
24.05541667,91.04888333,NA,NA,NA,NA,"All Households"
24.05583333,91.04955,NA,NA,NA,NA,"All Households"
24.05583333,91.04955,NA,NA,NA,NA,"All Households"
24.05033333,91.05,NA,NA,NA,NA,"All Households"
24.05033333,91.05,NA,NA,NA,NA,"All Households"
24.05615,91.05068333,NA,NA,NA,NA,"All Households"
23.82203333,90.98775,NA,NA,NA,NA,"All Households"
23.8216,90.987,NA,NA,NA,NA,"All Households"
23.82361667,90.98906667,NA,NA,NA,NA,"All Households"
23.82096667,90.98703333,NA,NA,NA,NA,"All Households"
23.82163333,90.9884,NA,NA,NA,NA,"All Households"
23.82093333,90.98718333,NA,NA,NA,NA,"All Households"
24.22858333,91.24726667,NA,NA,NA,NA,"All Households"
24.22791667,91.24691667,NA,NA,NA,NA,"All Households"
24.22858333,91.2461,NA,NA,NA,NA,"All Households"
24.22891667,91.24495,NA,NA,NA,NA,"All Households"
24.22803333,91.24436667,NA,NA,NA,NA,"All Households"
24.22803333,91.24496667,NA,NA,NA,NA,"All Households"
23.26483333,90.70213333,NA,NA,NA,NA,"All Households"
23.26456667,90.7019,NA,NA,NA,NA,"All Households"
23.26456667,90.7019,NA,NA,NA,NA,"All Households"
23.26576667,90.70138333,NA,NA,NA,NA,"All Households"
23.26558333,90.70143333,NA,NA,NA,NA,"All Households"
23.26468333,90.70136667,NA,NA,NA,NA,"All Households"
23.26473333,90.70745,NA,NA,NA,NA,"All Households"
23.26343333,90.70136667,NA,NA,NA,NA,"All Households"
23.26553333,90.70693333,NA,NA,NA,NA,"All Households"
23.26306667,90.70845,NA,NA,NA,NA,"All Households"
23.26306667,90.70845,NA,NA,NA,NA,"All Households"
23.26356667,90.70755,NA,NA,NA,NA,"All Households"
23.19505,90.70831667,NA,NA,NA,NA,"All Households"
23.19595,90.71083333,NA,NA,NA,NA,"All Households"
23.19613333,90.70998333,NA,NA,NA,NA,"All Households"
23.19776667,90.70858333,NA,NA,NA,NA,"All Households"
23.19693333,90.70931667,NA,NA,NA,NA,"All Households"
23.08696667,90.68301667,NA,NA,NA,NA,"All Households"
23.08828333,90.68473333,NA,NA,NA,NA,"All Households"
23.0892,90.6839,NA,NA,NA,NA,"All Households"
23.08683333,90.68336667,NA,NA,NA,NA,"All Households"
23.08743333,90.6855,NA,NA,NA,NA,"All Households"
23.41311667,90.7952,NA,NA,NA,NA,"All Households"
